f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 98819 ,0.07 ,0.06 ,0.27 ,0.04 ,0.40 ,0.39 ,,,,,,,,,,,,,,
HIP 92167 ,-1.06 ,0.73 ,-0.30 ,0.54 ,-1.01 ,0.11 ,,,,,,,,,,,,,,
HIP 85007 ,-0.32 ,0.13 ,-0.32 ,0.10 ,-0.56 ,0.11 ,,,,,,,,,,,,,,
HD 225644 ,0.10 ,0.07 ,0.54 ,0.04 ,0.00 ,0.11 ,,,,,,,,,,,,,,
HIP 88601 ,0.15 ,0.13 ,0.12 ,0.04 ,-0.09 ,0.11 ,,,,,,,,,,,,,,
HIP 101916 ,0.10 ,0.06 ,0.38 ,0.04 ,0.59 ,0.11 ,,,,,,,,,,,,,,
HIP 98339 ,-0.98 ,1.53 ,-2.59 ,0.04 ,-2.70 ,0.11 ,,,,,,,,,,,,,,
HIP 55846 ,0.26 ,0.18 ,0.34 ,0.06 ,0.74 ,0.11 ,,,,,,,,,,,,,,
HIP 17960 ,0.26 ,0.14 ,0.26 ,0.04 ,0.84 ,0.11 ,b c ,3668.0 515.4 ,170.0 2.2 ,-170.0 -2.5 ,3.86 0.201 ,0.36 0.027 ,-0.36 -0.027 ,0.04 0.11 ,0.06 0.12 ,-0.06 -0.079 ,4.92 1.3 ,0.21 0.021 ,-0.21 -0.022 ,
HIP 44075 ,-0.50 ,0.46 ,-0.31 ,0.04 ,-0.43 ,0.11 ,,,,,,,,,,,,,,
HIP 85042 ,0.12 ,0.13 ,0.02 ,0.04 ,0.84 ,0.16 ,,,,,,,,,,,,,,
HIP 75829 ,0.07 ,0.14 ,0.10 ,0.04 ,0.11 ,0.11 ,,,,,,,,,,,,,,
HIP 97336 ,0.17 ,0.14 ,-0.06 ,0.06 ,0.73 ,0.11 ,b c ,3.0965971 3810.0 ,2.3e-06 420.0 ,-2.2e-06 -420.0 ,0.501 1.99 ,0.016 0.25 ,-0.016 -0.25 ,0.004 0.252 ,0.004 0.033 ,-0.0028 -0.033 ,0.04186 4.89 ,0.00065 0.53 ,-0.00066 -0.53 ,
HIP 62523 ,0.15 ,0.10 ,0.22 ,0.04 ,0.33 ,0.22 ,,,,,,,,,,,,,,
HIP 64577 ,-0.17 ,0.23 ,-0.03 ,0.04 ,-0.06 ,0.11 ,,,,,,,,,,,,,,
